rule_id,answer_key,target_type,target_key,priority_code,reason_fr_ascii
IR0045,qualite_air_interieur,technology,co2_sensor,P1,Recommandation liee a l'installation qualite_air_interieur
IR0046,qualite_air_interieur,technology,voc_sensor,P2,Recommandation liee a l'installation qualite_air_interieur
IR0047,qualite_air_interieur,technology,temperature_humidity_sensor,P1,Recommandation liee a l'installation qualite_air_interieur
IR0048,surface_plus_1000,regulation,decret_tertiaire,REGLEMENTAIRE,Surface >1000m2 : logique Decret Tertiaire / OPERAT
IR0049,surface_plus_1000,technology,ems,REGLEMENTAIRE,EMS recommande pour suivi OPERAT
IR0050,surface_plus_1000,technology,electric_meter,REGLEMENTAIRE,Sous-comptage pour suivi energie
IR0051,cvc_centralise,regulation,decret_bacs_70,REGLEMENTAIRE_CANDIDATE,CVC centralise : verifier puissance 70kW
IR0052,cvc_centralise,technology,gtb_bms,P1,GTB/BMS recommandee pour CVC centralise
IR0053,cvc_centralise,technology,hvac_actuator,P1,Actionneurs requis pour pilotage CVC
IR0054,systeme_technique_important,regulation,decret_bacs_290,REGLEMENTAIRE_CANDIDATE,Systeme technique important : verifier seuil 290kW
IR0055,systeme_technique_important,technology,gtb_bms,P1,GTB/BMS fortement recommandee
IR0056,systeme_technique_important,technology,edge_ai,P2,Optimisation locale avancée
IR0057,aucun_systeme,technology,lorawan_gateway,P1,Bâtiment aveugle : demarrer par collecte terrain
IR0058,aucun_systeme,technology,lorawan,P1,Retrofit rapide par LoRaWAN
IR0059,releves_manuels,technology,ems,P1,Automatiser releves et reporting
IR0060,gtb_bms_existante,protocol,bacnet,P1,Integration GTB existante
IR0061,gtb_bms_existante,protocol,modbus_rs485,P1,Integration terrain existant
IR0062,ems_existant,technology,lorawan_gateway,P1,Completer EMS par donnees terrain
IR0063,sans_travaux_oui,technology,lorawan,P1,Solution sans travaux lourds : LoRaWAN prioritaire
IR0064,sans_travaux_oui,technology,lorawan_gateway,P1,Passerelle LoRaWAN pour collecte
IR0065,lorawan,protocol,lorawan,P1,Exigence communication declaree par le client
IR0066,modbus_rs485,protocol,modbus_rs485,P1,Exigence communication declaree par le client
IR0067,bacnet,protocol,bacnet,P1,Exigence communication declaree par le client
IR0068,mqtt,protocol,mqtt,P1,Exigence communication declaree par le client
IR0069,decret_tertiaire,regulation,decret_tertiaire,REGLEMENTAIRE,Obligation declaree par le client
IR0070,decret_bacs,regulation,decret_bacs_70,REGLEMENTAIRE,Obligation declaree par le client
IR0071,qai_erp,regulation,qai_erp,REGLEMENTAIRE,Obligation declaree par le client
IR0072,iso_50001,regulation,iso_50001,REGLEMENTAIRE,Obligation declaree par le client
IR0073,refacturation_mid,regulation,refacturation_mid,REGLEMENTAIRE,Obligation declaree par le client
